Setting;Value type;Default value;Location;Comment;Min PHP version;Max PHP version;Module;Min module version;Max module version
vld.skip_prepend;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since vld 0.8.0.";;;VLD;0.8.0;
windows.show_crt_warning;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 5.4.0.";5.4.0;;;;
xbithack;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 4.0.5.";4.0.5;;;;
xdebug.auto_profile;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Removed in Xdebug 2.0.0.";;;XDEBUG;;2.0.0
xdebug.auto_profile_mode;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Removed in Xdebug 2.0.0.";;;XDEBUG;;2.0.0
xdebug.auto_trace;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"";;;;;
xdebug.collect_includes;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.collect_params;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"";;;;;
xdebug.collect_return;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.collect_vars;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.default_enable;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"PHP_INI_SYSTEM in Xdebug 1.";;;;;
xdebug.dump.COOKIE;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
xdebug.dump.ENV;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
xdebug.dump.FILES;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
xdebug.dump.GET;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
xdebug.dump.POST;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
xdebug.dump.REQUEST;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
xdebug.dump.SERVER;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
xdebug.dump.SESSION;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
xdebug.dump_globals;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.dump_once;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"";;;;;
xdebug.dump_undefined;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"";;;;;
xdebug.extended_info;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.idekey;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.manual_url;VALUE_TYPE_STRING;http://www.php.net;PHP_INI_ALL;"";;;;;
xdebug.max_nesting_level;VALUE_TYPE_INTEGER;100;PHP_INI_ALL;"";;;;;
xdebug.output_dir;VALUE_TYPE_STRING;/tmp;PHP_INI_PERDIR;"PHP_INI_SYSTEM in Xdebug <= 1.2.0. Removed in Xdebug 2.0.0.";;;XDEBUG;;2.0.0
xdebug.profiler_aggregate;VALUE_TYPE_INTEGER;0;PHP_INI_PERDIR;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.profiler_append;VALUE_TYPE_INTEGER;0;PHP_INI_PERDIR;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.profiler_enable;VALUE_TYPE_INTEGER;0;PHP_INI_PERDIR;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.profiler_enable_trigger;VALUE_TYPE_INTEGER;0;PHP_INI_PERDIR;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.profiler_output_dir;VALUE_TYPE_STRING;/tmp;PHP_INI_PERDIR;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.profiler_output_name;VALUE_TYPE_STRING;cachegrind.out.%p;PHP_INI_PERDIR;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.remote_autostart;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.remote_enable;VALUE_TYPE_INTEGER;0;PHP_INI_PERDIR;"";;;;;
xdebug.remote_handler;VALUE_TYPE_STRING;dbgp;PHP_INI_ALL;"";;;;;
xdebug.remote_host;VALUE_TYPE_STRING;localhost;PHP_INI_ALL;"";;;;;
xdebug.remote_log;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.remote_mode;VALUE_TYPE_STRING;req;PHP_INI_ALL;"";;;;;
xdebug.remote_port;VALUE_TYPE_INTEGER;9000;PHP_INI_ALL;"";;;;;
xdebug.show_exception_trace;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.show_local_vars;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.show_mem_delta;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
